"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"503100","PHOENIXLTD","The Phoenix Mills Limited","20","INE211B01039","No","No","Yes"
"IIIFCDG-GR","IIIFCDG-GR","360 ONE FLEXICAP FUND - DIRECT PLAN - GROWTH","25","INF579M01AS1","No","No","Yes"
"CRGLGP-GR","CRGLGP-GR","CANARA ROBECO GILT FUND REGULAR GROWTH","25","INF760K01AE1","No","Yes","Yes"
"079C-DP","079C-DP","SBI SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW PAYOUT","25","INF200K01669","No","Yes","Yes"
"542726","INDIAMART","INDIAMART INTERMESH LTD","20","INE933S01016","No","No","Yes"
"IC9659-DR","IC9659-DR","ICICI PRUDENTIAL NIFTY SMALLCAP 250 INDEX FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF109KC1V34","No","No","Yes"
"SBD464D-DR","SBD464D-DR","SBI BANKING AND FINANCIAL SERVICES FUND - DIRECT PLAN-IDCW REINVESTMENT","25","INF200KA1523","No","No","Yes"
"QUCODP-DP","QUCODP-DP","QUANT COMMODITIES FUND-REGULAR PLAN-IDCW PAYOUT","25","INF966L01DD8","No","No","Yes"
"BAMCRG-GR","BAMCRG-GR","BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND REGULAR PLAN - GROWTH","25","INF761K01DP9","No","No","Yes"
"SBD091D-DR","SBD091D-DR","SBI MAGNUM MIDCAP FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF200K01TO7","No","No","Yes"
"SB652DP-DP","SB652DP-DP","SBI MULTICAP FUND - REGULAR PLAN - IDCW PAYOUT","25","INF200KA16E6","No","No","Yes"
"DDG-GR","DDG-GR","360 ONE DYNAMIC BOND FUND DIRECT PLAN- GROWTH","25","INF579M01266","No","No","Yes"
"SGBJUN29II","SGBJUN29II","2.5%GOLDBONDS2029SR-II","10","IN0020210061","No","Yes","Yes"
