"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"EDO5RG-GR","EDO5RG-GR","BHARAT BOND FOF - APRIL 2025 - REGULAR PLAN - GROWTH","25","INF754K01LF8","No","No","Yes"
"HDFCMCOD-DR","HDFCMCOD-DR","HDFC MID-CAP OPPORTUNITIES FUND - IDCW REINVESTMENT OPTION","25","INF179K01CT8","No","No","Yes"
"AXMTD1-DP","AXMTD1-DP","AXIS MULTICAP FUND DIRECT IDCW PAYOUT","25","INF846K014E8","No","No","Yes"
"IDFCMTG-GR","IDFCMTG-GR","BANDHAN BOND FUND - MEDIUM TERM PLAN-REGULAR PLAN-GROWTH","25","INF194K01JU0","No","No","Yes"
"KO286-GR","KO286-GR","KOTAK BANKING AND FINANCIAL SERVICES FUND-REGULAR PLAN-GROWTH","25","INF174KA1MA7","No","No","Yes"
"LCLFD1-DDR","LCLFD1-DDR","LIC MF LIQUID FUND-DIRECT - DIVIDEND PLAN-IDCW REINVESTMENT","25","INF767K01DM3","No","Yes","Yes"
"SUNHZG-GR","SUNHZG-GR","SUNDARAM NIFTY 100 EQUAL WEIGHT FUND - DIRECT PLAN GROWTH","25","INF173K01EZ4","No","No","Yes"
"500188","HINDZINC","Hindustan Zinc Limited","20.28","INE267A01025","No","No","Yes"
"SB626G-GR","SB626G-GR","SBI RETIREMENT BENEFIT FUND CONSERVATIVE PLAN - REGULAR PLAN GROWTH","25","INF200KA1T13","No","No","Yes"
"SB661D-DR","SB661D-DR","SBI NIFTY MIDCAP 150 INDEX FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF200KA19O9","No","No","Yes"
"AXSCD1-DR","AXSCD1-DR","AXIS SMALL CAP FUND - DIRECT PLAN IDCW REINVESTMENT","25","INF846K01K50","No","No","Yes"
"HDMTNDT-DP","HDMTNDT-DP","HDFC CORPORATE BOND FUND - DIRECT PLAN - NORMAL-IDCW PAYOUT","25","INF179KA1D17","No","No","Yes"
"425-GR","425-GR","FRANKLIN INDIA OPPORTUNITIES FUND - DIRECT GROWTH","25","INF090I01GC8","No","No","Yes"
"532163","SAREGAMA","SAREGAMA INDIA LIMITED","21.93","INE979A01025","No","No","Yes"
"LCMCD1-DR","LCMCD1-DR","LIC MF LARGE AND MIDCAP FUND-DIRECT PLAN-IDCW REINVESTMENT","25","INF767K01NF6","No","No","Yes"
"SUBUGP-GR","SUBUGP-GR","SUNDARAM BUSINESS CYCLE FUND - REGULAR PLAN - GROWTH","25","INF903JA1LN3","No","No","Yes"
"CACYDG-GR","CACYDG-GR","CANARA ROBECO SHORT DURATION FUND DIRECT GROWTH","25","INF760K01DX5","No","No","Yes"
"HSLARDP-DP","HSLARDP-DP","HSBC ARBITRAGE FUND DIRECT MONTHLY IDCW PAYOUT","25","INF917K01QT1","No","No","Yes"
"533272","JWL","JUPITER WAGONS LIMITED","26.53","INE209L01016","No","No","Yes"
"SBD72SG-GR","SBD72SG-GR","SBI LIQUID FUND DIRECT GROWTH","25","INF200K01UT4","No","Yes","Yes"
"SBD144P-DP","SBD144P-DP","SBI INFRASTRUCTURE FUND - DIRECT PLAN - IDCW PAYOUT","25","INF200K01RQ6","No","No","Yes"
"MCOGT-GR","MCOGT-GR","HDFC MID-CAP OPPORTUNITIES FUND - DIRECT PLAN - GROWTH OPTION","25","INF179K01XQ0","No","No","Yes"
"SB575DP-DP","SB575DP-DP","SBI EQUITY MINIMUM VARIANCE FUND - REGULAR PLAN IDCW PAYOUT","25","INF200KA1A55","No","No","Yes"
"544210","EMCURE","EMCURE PHARMACEUTICALS L","20","INE168P01015","No","No","Yes"
"UTMFD1-DR","UTMFD1-DR","UTI MNC FUND-DIRECT IDCW REINVESTMENT","25","INF789F01UC2","No","No","Yes"
"UTGPD2-GR","UTGPD2-GR","UTI HEALTHCARE FUND - DIRECT GROWTH PLAN","25","INF789F01TO9","No","No","Yes"
"41-DP","41-DP","HDFC TOP 100 FUND - REGULAR PLAN - IDCW PAYOUT","25","INF179K01BC6","No","No","Yes"
"DWGFGP-GR","DWGFGP-GR","PGIM INDIA GILT FUND - REGULAR PLAN - GROWTH","25","INF223J01AQ6","No","Yes","Yes"
"500093","CGPOWER","CG POWER AND IND SOL LTD","20","INE067A01029","No","No","Yes"
"SB631D-DR","SB631D-DR","SBI NIFTY NEXT 50 INDEX FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF200KA1V92","No","No","Yes"
"SEMD-DR","SEMD-DR","SUNDARAM LARGE AND MID CAP FUND REGULAR IDCW REINVESTMENT","25","INF903J01DV7","No","No","Yes"
"543711","SULA","Sula Vineyards Limited","20","INE142Q01026","No","No","Yes"
"500113","SAIL","Steel Authority of India Limit","21.27","INE114A01011","No","No","Yes"
"HSBCIIG-GR","HSBCIIG-GR","HSBC MEDIUM TO LONG DURATION FUND - GROWTH","25","INF336L01776","No","No","Yes"
"AXFISQD-DP-Q","AXFISQD-DP-Q","AXIS CONSERVATIVE HYBRID FUND - REGULAR PLAN - QUARTERLY IDCW PAYOUT","25","INF846K01701","No","No","Yes"
"IDD377-GR","IDD377-GR","BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND DIRECT PLAN-GROWTH","25","INF194KB1FF5","No","Yes","Yes"
"MIAM-DR","MIAM-DR","NIPPON INDIA HYBRID BOND FUND - DIRECT MONTHLY IDCW REINVESTMENT","25","INF204K01YX0","No","No","Yes"
"SGBAUG28V","SGBAUG28V","2.50%GOLDBONDS2028SR-V","10","IN0020200161","No","Yes","Yes"
"MOSCGD-GR","MOSCGD-GR","MOTILAL OSWAL  SMALL CAP FUND-DIRECT PLAN-GROWTH","25","INF247L01BY3","No","No","Yes"
"GLAD-DP","GLAD-DP","NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN DIVIDEND PLAN IDCW PAYOUT","25","INF204K01XQ6","No","Yes","Yes"
"SH109D-GR","SH109D-GR","SHRIRAM MULTI ASSET ALLOCATION FUND DIRECT PLAN - GROWTH","25","INF680P01406","No","No","Yes"
"513377","MMTC","MMTC Limited","26.58","INE123F01029","No","No","Yes"
"TANSGZ-GR","TANSGZ-GR","TATA NIFTY SDL PLUS AAA PSU BOND DEC 2027 60: 40 INDEX FUND - DIRECT PLAN - GROWTH","25","INF277KA1372","No","No","Yes"
"SB473QP-DP","SB473QP-DP","SBI EQUITY SAVINGS FUND - REGULAR PLAN - QUARTERLY IDCW PAYOUT","25","INF200KA1DD8","No","No","Yes"
"AXMLDG-GR","AXMLDG-GR","AXIS FLEXI CAP FUND DIRECT PLAN GROWTH","25","INF846K01B28","No","No","Yes"
"8192P-DP","8192P-DP","ICICI PRUDENTIAL MEDIUM TERM BOND FUND - DIRECT PLAN - QUARTERLY IDCW PAYOUT","25","INF109K018A9","No","No","Yes"
"SGBMAR28X","SGBMAR28X","2.50%GOLDBONDS2028SR-X","10","IN0020190552","No","Yes","Yes"
"K42DP-DP-M","K42DP-DP-M","KOTAK DEBT HYBRID FUND - MONTHLY IDCW PAYOUT","25","INF174K01419","No","No","Yes"
"DS844-DR","DS844-DR","DSP NIFTY 50 EQUAL WEIGHT INDEX FUND - DIR - IDCW REINVESTMENT","25","INF740KA1CT3","No","No","Yes"
"ICICI1710P-DP-W","ICICI1710P-DP-W","ICICI PRUDENTIAL SAVINGS FUND - WEEKLY IDCW PAYOUT","25","INF109K01JO1","No","No","Yes"
"SH105D-GR","SH105D-GR","SHRIRAM ELSS TAX SAVER FUND - DIRECT PLAN - GROWTH","25","INF680P01158","No","No","Yes"
"8176-GR","8176-GR","ICICI PRUDENTIAL VALUE DISCOVERY FUND - DIRECT PLAN - GROWTH","25","INF109K012K1","No","No","Yes"
"INFD-DR","INFD-DR","TATA INFRASTRUCTURE FUND REGULAR PLAN - IDCW REINVESTMENT","25","INF277K01774","No","No","Yes"
"8149-GR","8149-GR","ICICI PRUDENTIAL PASSIVE STRATEGY FUND (FOF) - DIRECT PLAN - GROWTH","25","INF109K01W58","No","No","Yes"
"IDD311-GR","IDD311-GR","BANDHAN HYBRID EQUITY FUND DIRECT PLAN-GROWTH","25","INF194KA1U56","No","No","Yes"
"TAEODZ-DR","TAEODZ-DR","TATA LARGE AND MID CAP FUND DIRECT PLAN - IDCW REINVESTMENT","25","INF277K01MJ0","No","No","Yes"
"533160","DBREALTY","D B Realty Limited","27.67","INE879I01012","No","No","Yes"
"RELLEDP-DP","RELLEDP-DP","NIPPON INDIA FOCUSED EQUITY FUND - DIVIDEND PLAN - IDCW PAYOUT OPTION","25","INF204K01GF4","No","No","Yes"
"ID363-GR","ID363-GR","BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND REGULAR PLAN-GROWTH","25","INF194KB1DS3","No","No","Yes"
"BXBA079-GR","BXBA079-GR","BANK OF INDIA ELSS TAX SAVER - DIRECT PLAN - GROWTH","25","INF761K01884","No","No","Yes"
"8272-DR","8272-DR","ICICI PRUDENTIAL SAVINGS FUND - DIRECT PLAN - QUARTERLY IDCW REINVESTMENT","25","INF109K019Y7","No","No","Yes"
"KO1223D-GR","KO1223D-GR","KOTAK NIFTY AAA BOND JUN 2025 HTM INDEX FUND - DIRECT PLAN - GROWTH","25","INF174KA1RN9","No","No","Yes"
"BS79C-DR","BS79C-DR","ADITYA BIRLA SUN LIFE NIFTY 50 EQUAL WEIGHT INDEX FUND-NORMAL PLAN-IDCW REINVESTMENT","25","INF209KB1Z63","No","No","Yes"
"LCMCD1-DP","LCMCD1-DP","LIC MF LARGE AND MIDCAP FUND-DIRECT PLAN-DIVIDEND-IDCW PAYOUT","25","INF767K01ND1","No","No","Yes"
"TGDG-GR","TGDG-GR","JM ELSS TAX SAVER FUND-DIRECT PLAN GROWTH","25","INF192K01CE3","No","No","Yes"
"GFAD-DP","GFAD-DP","NIPPON INDIA GROWTH FUND DIRECT PLAN DIVIDEND PLAN IDCW PAYOUT","25","INF204K01E39","No","No","Yes"
"D207-GR","D207-GR","BANDHAN LARGE CAP FUND-GROWTH-(DIRECT PLAN)","25","INF194K01Z44","No","No","Yes"
"TACBFPD-DR","TACBFPD-DR","TATA CORPORATE BOND FUND-REGULAR PLAN-IDCW PERIODIC REINVESTMENT","25","INF277KA1331","No","No","Yes"
"RGMSD2-DP","RGMSD2-DP","INVESCO INDIA MULTICAP FUND - DIRECT PLAN IDCW PAYOUT","25","INF205K01MQ6","No","No","Yes"
"ITPHGP-GR","ITPHGP-GR","ITI PHARMA AND HEALTHCARE FUND - REGULAR PLAN - GROWTH","25","INF00XX01BL5","No","No","Yes"
"SUSAZD-DR","SUSAZD-DR","SUNDARAM BALANCED ADVANTAGE FUND - DIRECT PLAN MONTHLY IDCW REINVESTMENT","25","INF173K01FG1","No","No","Yes"
"GLAD-DR","GLAD-DR","NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN DIVIDEND PLAN IDCW REINVESTMENT","25","INF204K01XR4","No","Yes","Yes"
"524200","VINATIORGA","Vinati Organics Limited","20","INE410B01037","No","No","Yes"
"KO1195-GR","KO1195-GR","KOTAK BSE HOUSING INDEX FUND -REGULAR PLAN-GROWTH","25","INF174KA1OU1","No","No","Yes"
"IFFRM-DR","IFFRM-DR","BANDHAN MONEY MANAGER FUND - MONTHLY - IDCW REINVESTMENT","25","INF194K01LN1","No","Yes","Yes"
"UTFNAD-DR","UTFNAD-DR","UTI FLOATER FUND-REGULAR ANNUAL IDCW REINVESTMENT","25","INF789F1ACS5","No","No","Yes"
"506401","DEEPAKNTR","DEEPAK NITRITE LTD","20","INE288B01029","No","No","Yes"
"500126","PGHL","PROCTER & GAMBLE HEALTH L","20","INE199A01012","No","No","Yes"
"506943","JBCHEPHARM","J B CHEMICALS AND PHARMA","20","INE572A01036","No","No","Yes"
"GFDT-DP","GFDT-DP","HDFC BALANCED ADVANTAGE FUND - DIRECT PLAN - IDCW PAYOUT","25","INF179K01VY8","No","No","Yes"
"MOSIGP-GR","MOSIGP-GR","MOTILAL OSWAL NIFTY SMALLCAP 250 INDEX FUND-REGULAR GROWTH","25","INF247L01924","No","No","Yes"
"BS303GZ-GR","BS303GZ-GR","ADITYA BIRLA SUN LIFE MEDIUM TERM PLAN - GROWTH-DIRECT PLAN","25","INF209K01XA9","No","No","Yes"
"QULSD1-DR","QULSD1-DR","QUANT FOCUSED FUND DIRECT PLAN - IDCW REINVESTMENT","25","INF966L01846","No","No","Yes"
"CRDVGP-GR","CRDVGP-GR","CANARA ROBECO FLEXI CAP FUND REGULAR GROWTH","25","INF760K01019","No","No","Yes"
"PRSCG1-GR","PRSCG1-GR","PGIM INDIA SMALL CAP FUND DIRECT PLAN - GROWTH","25","INF663L01W06","No","No","Yes"
"BPIVRG-GR","BPIVRG-GR","BARODA BNP PARIBAS INNOVATION FUND - REGULAR PLAN - GROWTH","25","INF251K01TB7","No","No","Yes"
"UTIFLOTNG-GR","UTIFLOTNG-GR","UTI ULTRA SHORT DURATION FUND -REGULAR PLAN-GROWTH","25","INF789F01570","No","No","Yes"
"500368","PATANJALI","PATANJALI FOODS LIMITED","20","INE619A01035","No","No","Yes"
"UTIILF-DR","UTIILF-DR","UTI INDIA CONSUMER FUND - IDCW REINVESTMENT","25","INF789F01CG1","No","No","Yes"
"HDHRIRG-GR","HDHRIRG-GR","HDFC NIFTY REALTY INDEX FUND - REGULAR PLAN - GROWTH","25","INF179KC1ID2","No","No","Yes"
"SBD638D-DR","SBD638D-DR","SBI BALANCED ADVANTAGE FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF200KA1Y99","No","No","Yes"
"ESNMGP-GR","ESNMGP-GR","NAVI NIFTY MIDCAP 150 INDEX FUND - REGULAR PLAN GROWTH","25","INF959L01FY4","No","No","Yes"
"11-DP","11-DP","HDFC DYNAMIC DEBT FUND - REGULAR PLAN - QUARTERLY IDCW PAYOUT","25","INF179K01871","No","No","Yes"
"500103","BHEL","Bharat Heavy Electricals Limit","22.2","INE257A01026","No","No","Yes"
"LCGLDP-DP","LCGLDP-DP","LIC MF GILT FUND-REGULAR DIVIDEND-IDCW PAYOUT","25","INF767K01683","No","Yes","Yes"
"SBI246D-DP","SBI246D-DP","SBI GOLD FUND-IDCW PAYOUT","25","INF200K01HB9","No","No","Yes"
"ID361-GR","ID361-GR","BANDHAN MIDCAP FUND REGULAR PLAN-GROWTH","25","INF194KB1DM6","No","No","Yes"
"RLLCDP-DR","RLLCDP-DR","NIPPON INDIA FLEXICAP FUND-REGULAR PLAN-IDCW REINVESTMENT","25","INF204KC1113","No","No","Yes"
"TAEP5PZ-DP","TAEP5PZ-DP","TATA EQUITY P/E FUND DIRECT PLAN - IDCW TRIGGER A (5%) PAYOUT","25","INF277K01MZ6","No","No","Yes"
"QTESGP-GR","QTESGP-GR","QUANTUM ESG BEST IN CLASS STRATEGY FUND - DIRECT PLAN - GROWTH","25","INF082J01382","No","No","Yes"
"EDFCDP-DR","EDFCDP-DR","EDELWEISS FOCUSED FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF754K01ON6","No","No","Yes"
"BS153GZ-GR","BS153GZ-GR","ADITYA BIRLA SUN LIFE LIQUID FUND DIRECT PLAN - GROWTH","25","INF209K01VA3","No","Yes","Yes"
"EDWHDP-DR","EDWHDP-DR","EDELWEISS MSCI INDIA DOMESTIC & WORLD HEALTHCARE 45 INDEX FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF754K01LT9","No","No","Yes"
"HS415DP-DP","HS415DP-DP","HSBC INFRASTRUCTURE FUND DIRECT PLAN - IDCW PAYOUT","25","INF917K01E52","No","No","Yes"
"HD53N-GR","HD53N-GR","HDFC MONEY MARKET FUND - REGULAR PLAN - GROWTH","25","INF179KB1HR5","No","Yes","Yes"
"035-DP","035-DP","SBI HEALTHCARE OPPORTUNITIES FUND REGULAR IDCW PAYOUT","25","INF200K01453","No","No","Yes"
"RLNDAG-GR","RLNDAG-GR","NIPPON INDIA NIFTY AAA PSU BOND PLUS SDL - SEP 2026 MATURITY 50:50 INDEX FUND DIRECT GROWTH PLAN","25","INF204KC1683","No","No","Yes"
"500125","EIDPARRY","EID Parry India Limited","20","INE126A01031","No","No","Yes"
"HDMC1DG-GR","HDMC1DG-GR","HDFC NIFTY MIDCAP 150 INDEX FUND - DIRECT - GROWTH","25","INF179KC1GC8","No","No","Yes"
"HSHMCRG-GR","HSHMCRG-GR","HSBC MULTI CAP FUND REGULAR PLAN - GROWTH","25","INF336L01QQ8","No","No","Yes"
"HDMULD-DP","HDMULD-DP","HDFC EQUITY SAVINGS FUND - IDCW PAYOUT","25","INF179K01AK1","No","No","Yes"
"HDHO1DR-DP","HDHO1DR-DP","HDFC HOUSING OPPORTUNITIES FUND - REGULAR PLAN - IDCW PAYOUT OPTION","25","INF179KC1AY5","No","No","Yes"
"543221","ITIETF","ICICIPRAMC - ICICITECH","20","INF109KC16I6","No","No","Yes"
"RLNJAG-GR","RLNJAG-GR","NIPPON INDIA NIFTY SDL PLUS G-SEC-JUN 2028 MATURITY 70:30 INDEX FUND DIRECT GROWTH","25","INF204KC1741","No","No","Yes"
"MODEDQ-DR","MODEDQ-DR","MOTILAL OSWAL BALANCE ADVANTAGE FUND - DIRECT QUARTERLY IDCW REINVESTMENT","25","INF247L01668","No","No","Yes"
"MHEBYDP-DP","MHEBYDP-DP","MAHINDRA MANULIFE MID CAP FUND - DIRECT - IDCW PAYOUT","25","INF174V01523","No","No","Yes"
"SBD663G-GR","SBD663G-GR","SBI CRISIL IBX GILT INDEX - JUNE 2036 FUND - DIRECT PLAN - GROWTH","25","INF200KA12Q9","No","Yes","Yes"
"SBD664G-GR","SBD664G-GR","SBI CRISIL IBX GILT INDEX - APRIL 2029 FUND - DIRECT PLAN - GROWTH","25","INF200KA18Q6","No","Yes","Yes"
"DS905-GR","DS905-GR","DSP NIFTY SMALLCAP250 QUALITY 50 INDEX FUND-DIRECT PLAN-GROWTH","25","INF740KA1TW1","No","No","Yes"
"KO1156D-DR","KO1156D-DR","KOTAK MULTICAP FUND - DIRECT PLAN - IDCW REINVESTEMENT","25","INF174KA1HX9","No","No","Yes"
"543219","ALPL30IETF","ICICIPRAMC - ICICIALPLV","10","INF109KC17V7","No","No","Yes"
"145-GR","145-GR","FRANKLIN INDIA FLOATING RATE FUND - GROWTH","25","INF090I01LM7","No","No","Yes"
"BJMARD-DR","BJMARD-DR","BAJAJ FINSERV MULTI ASSET ALLOCATION FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF0QA701813","No","No","Yes"
"ESETGP-GR","ESETGP-GR","NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND-REGULAR PLAN GROWTH","25","INF959L01GS4","No","No","Yes"
"SB652D-DR","SB652D-DR","SBI MULTICAP FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF200KA17E4","No","No","Yes"
"TPD1-DR","TPD1-DR","AXIS MULTI ASSET ALLOCATION FUND - DIRECT MONTHLY IDCW REINVESTMENT","25","INF846K01EU6","No","No","Yes"
"YE1001-GR","YE1001-GR","WHITEOAK CAPITAL ULTRA SHORT DURATION FUND REGULAR - GROWTH","25","INF03VN01282","No","No","Yes"
"SBD43D-DP","SBD43D-DP","SBI CONSERVATIVE HYBRID FUND DIRECT ANNUAL IDCW PAYOUT","25","INF200K01TQ2","No","No","Yes"
"B341QD-DR","B341QD-DR","ADITYA BIRLA SUN LIFE SHORT TERM FUND - IDCW REINVESTMENT","25","INF209K01DK0","No","No","Yes"
"CALCDD-DR","CALCDD-DR","CANARA ROBECO BLUECHIP EQUITY FUND DIRECT - IDCW REINVESTMENT","25","INF760K01FQ4","No","No","Yes"
"FMDP-DP","FMDP-DP","MOTILAL OSWAL MIDCAP FUND - REGULAR IDCW PAYOUT","25","INF247L01437","No","No","Yes"
"542867","CSBBANK","CSB BANK LIMITED","20","INE679A01013","No","No","Yes"
"UTNMGP-GR","UTNMGP-GR","UTI NIFTY200 MOMENTUM 30 INDEX FUND - REGULAR PLAN GROWTH","25","INF789F1AUS7","No","No","Yes"
"IF202-DR","IF202-DR","BANDHAN CORE EQUITY FUND-REGULAR-IDCW REINVESTMENT","25","INF194K01540","No","No","Yes"
"515030","ASAHIINDIA","Asahi India Glass Limited","20","INE439A01020","No","No","Yes"
"SUFFZG-GR","SUFFZG-GR","SUNDARAM LOW DURATION FUND  - DIRECT PLAN  GROWTH","25","INF173K01FS6","No","No","Yes"
"02","02","HDFC FLEXICAP FUND - GROWTH OPTION","25","INF179K01608","No","No","Yes"
"8083P-DP","8083P-DP","ICICI PRUDENTIAL CORPORATE BOND FUND - DIRECT PLAN - QUARTERLY IDCW PAYOUT","25","INF109K019B5","No","No","Yes"
"JMEFDP-DR","JMEFDP-DR","JM LARGE CAP FUND - IDCW REINVESTMENT OPTION","25","INF192K01593","No","No","Yes"
"HSFCDDP-DP","HSFCDDP-DP","HSBC AGGRESSIVE HYBRID FUND DIRECT PLAN - ANNUAL IDCW PAYOUT","25","INF917K01TY5","No","No","Yes"
"AXCVDG-GR","AXCVDG-GR","Axis CRISIL-IBX AAA Bond NBFC - JUN 2027 FUND DIRECT PLAN GROWTH","25","INF846K017X1","No","No","Yes"
"IDD397-GR","IDD397-GR","BANDHAN INNOVATION FUND - DIRECT PLAN - GROWTH","25","INF194KB1IE2","No","No","Yes"
"UTEQD1-DR","UTEQD1-DR","UTI FLEXI CAP FUND-DIRECT PLAN-IDCW REINVESTMENT","25","INF789F01TB6","No","No","Yes"
"IDFCAP-DR","IDFCAP-DR","BANDHAN ASSET ALLOCATION FUND OF FUND-AGGRESSIVE PLAN-REGULAR PLAN-IDCW REINVESTMENT","25","INF194K01979","No","No","Yes"
"ID373-GR","ID373-GR","BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND REGULAR PLAN-GROWTH","25","INF194KB1EQ5","No","No","Yes"
"532953","VGUARD","V-Guard Industries Limited","20","INE951I01027","No","No","Yes"
"SB566QP-DP","SB566QP-DP","SBI CORPORATE BOND FUND - REGULAR PLAN QUARTERLY IDCW PAYOUT","25","INF200KA1YP8","No","No","Yes"
"RLBPGP-GR","RLBPGP-GR","NIPPON INDIA BANKING AND PSU DEBT FUND - GROWTH PLAN-GROWTH OPTION","25","INF204KA1T56","No","No","Yes"
"DS637-GR","DS637-GR","DSP NIFTY SDL PLUS G-SEC SEP 2027 50:50 INDEX FUND - REGULAR - GROWTH","25","INF740KA1SE1","No","No","Yes"
"EDTCDP-DP","EDTCDP-DP","EDELWEISS TECHNOLOGY FUND - REGULAR PLAN - IDCW PAYOUT","25","INF754K01SH9","No","No","Yes"
"CRMIDP-DP","CRMIDP-DP","CANARA ROBECO CONSERVATIVE HYBRID FUND REGULAR MONTHLY - IDCW PAYOUT","25","INF760K01308","No","No","Yes"
"8110-GR","8110-GR","ICICI PRUDENTIAL CREDIT RISK FUND - DIRECT PLAN - GROWTH","25","INF109K01V00","No","No","Yes"
"QUCOGP-GR","QUCOGP-GR","QUANT COMMODITIES FUND-REGULAR PLAN-GROWTH","25","INF966L01DC0","No","No","Yes"
"539978","QUESS","QUESS","20","INE615P01015","No","No","Yes"
"8090P-DP","8090P-DP","ICICI PRUDENTIAL FLOATING INTEREST FUND - DIRECT PLAN - WEEKLY IDCW PAYOUT","25","INF109K01P73","No","No","Yes"
"500265","MAHSEAMLES","Maharashtra Seamless Limited","20","INE271B01025","No","No","Yes"
"RLPPDP-DR","RLPPDP-DR","NIPPON INDIA PASSIVE FLEXICAP FOF IDCW REINVESTMENT","25","INF204KB15X8","No","No","Yes"
"532497","RADICO","Radico Khaitan Limited","20","INE944F01028","No","No","Yes"
"AXQFD1-DP","AXQFD1-DP","AXIS QUANT FUND DIRECT IDCW PAYOUT","25","INF846K01Z95","No","No","Yes"
"TAMADZ-DR","TAMADZ-DR","TATA MULTI ASSET OPPORTUNITIES FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF277K010Z9","No","No","Yes"
"RLALDP-DP","RLALDP-DP","NIPPON INDIA ASSET ALLOCATOR FOF - REGULAR PLAN - IDCW PAYOUT","25","INF204KB14Y9","No","No","Yes"
"473-GR","473-GR","FRANKLIN INDIA EQUITY ADVANTAGE FUND - DIRECT GROWTH","25","INF090I01IN1","No","No","Yes"
"UTFNGP-GR","UTFNGP-GR","UTI FLOATER FUND-REGULAR GROWTH PLAN","25","INF789F1ACO4","No","No","Yes"
"251D-DP","251D-DP","ADITYA BIRLA SUN LIFE MIDCAP FUND - IDCW PAYOUT","25","INF209K01355","No","No","Yes"
"RLNKAG-GR","RLNKAG-GR","NIPPON INDIA NIFTY G-SEC- SEP 2027 MATURITY INDEX FUND DIRECT GROWTH PLAN","25","INF204KC1881","No","Yes","Yes"
"8132-DR","8132-DR","ICICI PRUDENTIAL BANKING AND PSU DEBT FUND - DIRECT PLAN - QUARTERLY IDCW REINVESTMENT","25","INF109K012A2","No","No","Yes"
"RELLFCP-GR","RELLFCP-GR","NIPPON INDIA ULTRA SHORT DURATION FUND - GROWTH OPTION","25","INF204K01UE8","No","No","Yes"
"CAVFDD-DR","CAVFDD-DR","CANARA ROBECO VALUE FUND DIRECT IDCW REINVESTMENT","25","INF760K01JX2","No","No","Yes"
"ID341-DP","ID341-DP","BANDHAN SMALL CAP FUND REGULAR PLAN-IDCW PAYOUT","25","INF194KB1AK6","No","No","Yes"
"MYD05-DP","MYD05-DP","HDFC MULTI-ASSET FUND - REGULAR PLAN -IDCW PAYOUT","25","INF179K01AN5","No","No","Yes"
"BS261RZ-DR","BS261RZ-DR","ADITYA BIRLA SUN LIFE DIVIDEND YIELD FUND - IDCW REINVESTMENT-DIRECT PLAN","25","INF209K01WB9","No","No","Yes"
"IC3436P-DP","IC3436P-DP","ICICI PRUDENTIAL ESG EXCLUSIONARY STRATEGY FUND IDCW PAYOUT","25","INF109KC1N91","No","No","Yes"
"HDCDNDT-DP","HDCDNDT-DP","HDFC CREDIT RISK DEBT FUND - DIRECT PLAN - NORMAL IDCW PAYOUT","25","INF179KA1I61","No","No","Yes"
"8190-GR","8190-GR","ICICI PRUDENTIAL MEDIUM TERM BOND FUND - DIRECT PLAN - GROWTH","25","INF109K015A5","No","No","Yes"
"UTIDYF-DR","UTIDYF-DR","UTI DIVIDEND YIELD FUND - IDCW REINVESTMENT OPTION","25","INF789F01455","No","No","Yes"
"HDHMDDP-DP","HDHMDDP-DP","HDFC MNC FUND DIRECT PLAN IDCW PAYOUT","25","INF179KC1FD8","No","No","Yes"
"BS60B-GR","BS60B-GR","ADITYA BIRLA SUNLIFE LIFE PHARMA AND HEALTHCARE FUND NORMAL GROWTH","25","INF209KB1N91","No","No","Yes"
"HSHCPDD-DR","HSHCPDD-DR","HSBC LIQUID  FUND - DAILY IDCW DIRECT PLAN -REINVESTMENT","25","INF336L01CB0","No","Yes","Yes"
"QULSGP-GR","QULSGP-GR","QUANT FOCUSED FUND REGULAR PLAN - GROWTH","25","INF966L01374","No","No","Yes"
"509631","HEG","HEG LTD","50","INE545A01024","No","No","Yes"
"EDMORD-DP","EDMORD-DP","EDELWEISS RECENTLY LISTED IPO FUND - REGULAR PLAN - IDCW - PAYOUT","25","INF754K01MI0","No","No","Yes"
"532155","GAIL","GAIL (India) Limited","20","INE129A01019","No","No","Yes"
"BS106DP-DP","BS106DP-DP","ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND - IDCW PAYOUT","25","INF084M01AC6","No","No","Yes"
"SBD017D-DP","SBD017D-DP","SBI LARGE AND MIDCAP FUND DIRECT IDCW PAYOUT","25","INF200K01UH9","No","No","Yes"
"HSHSDOG-GR","HSHSDOG-GR","HSBC ULTRA SHORT DURATION FUND DIRECT GROWTH","25","INF336L01OR1","No","No","Yes"
